Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Scoring Off,Scoring Def,Passing Off,Passing Def,Rushing Off,Rushing Def,Total Off,Total Def
31,Notre Dame,Ind,30,8,5,8.86,-0.30,8.56,80.17,-15.08,12.48,2.97,7.43,1.54,9.86,2.22
32,Tennessee,SEC (East),30,7,6,3.72,4.42,8.13,77.48,-23.24,11.12,2.25,6.88,1.19,8.79,1.62
33,Florida,SEC (East),35,7,5,0.92,7.21,8.12,77.19,-25.92,11.18,1.45,7.37,0.23,8.92,0.90
34,West Virginia,Big 12,35,7,6,6.18,1.89,8.07,79.25,-21.20,12.12,1.91,7.24,1.54,9.52,1.69
35,Miami (FL),ACC (Coastal),35,6,7,1.26,6.78,8.04,74.20,-24.22,12.44,1.71,7.99,0.62,10.04,1.11
36,Memphis,American,25,10,3,3.75,3.46,7.22,78.72,-19.86,11.18,2.40,6.87,1.04,8.71,1.76
37,Minnesota,Big Ten (West),35,8,5,3.41,3.32,6.74,74.50,-21.14,11.72,2.19,7.83,1.76,9.19,1.96
38,Virginia Tech,ACC (Coastal),35,7,6,-1.93,8.64,6.71,68.88,-26.97,10.30,2.14,6.74,0.96,8.35,1.51
39,South Carolina,SEC (East),35,7,6,9.39,-2.69,6.70,81.00,-16.69,12.65,2.89,7.64,2.49,10.03,2.63
40,Duke,ACC (Coastal),35,9,4,3.59,3.05,6.64,77.01,-19.76,10.00,2.41,7.61,1.99,8.76,2.17
1,Florida State,ACC (Atlantic),1,14,0,8.57,14.79,23.36,53.97,11.05,1.07,13.96,1.33,7.71,1.64,10.23
2,Oregon,Pac-12 (North),9,11,2,12.56,8.70,21.27,50.03,15.36,1.00,14.16,1.95,8.32,1.73,10.51
3,Alabama,SEC (West),7,11,2,5.72,14.35,20.06,42.00,10.79,0.06,15.21,1.61,7.40,1.20,10.70
4,Missouri,SEC (East),5,12,2,11.89,8.08,19.97,42.89,16.88,-1.01,15.06,1.37,8.25,0.56,11.23
5,Stanford,Pac-12 (North),11,11,3,5.99,12.97,18.96,38.64,10.11,0.90,14.31,1.11,6.87,0.95,10.14
6,Auburn,SEC (West),2,12,2,13.60,5.21,18.80,45.72,17.95,0.09,15.66,2.07,8.74,1.03,11.64
7,Arizona State,Pac-12 (South),21,10,4,13.67,3.83,17.50,47.64,19.48,-0.30,15.34,0.80,8.00,0.58,10.97
8,UCLA,Pac-12 (South),16,10,3,10.15,6.95,17.10,42.61,17.02,0.25,14.55,0.47,7.97,0.54,10.60
9,Baylor,Big 12,13,11,2,12.51,4.35,16.87,54.83,22.00,1.74,15.18,1.22,8.17,1.63,10.99
10,Oklahoma State,Big 12,17,10,3,10.19,6.64,16.83,42.92,17.94,-0.82,14.51,0.58,7.99,0.37,10.73
11,South Carolina,SEC (East),4,11,2,7.99,8.07,16.06,40.30,15.99,0.00,15.48,0.72,8.48,0.54,11.30
12,Ohio State,Big Ten (Leaders),12,12,2,10.77,4.87,15.65,47.17,20.57,-0.94,15.81,2.94,7.79,1.38,11.36
13,Washington,Pac-12 (North),25,9,4,6.41,8.71,15.12,42.01,15.19,-0.46,14.15,1.08,8.52,0.59,10.68
14,Clemson,ACC (Atlantic),8,11,2,9.21,5.77,14.98,43.55,18.59,-0.12,15.85,0.44,8.29,0.60,11.40
15,Michigan State,Big Ten (Legends),3,13,1,1.23,13.51,14.74,31.12,12.04,-1.86,13.89,0.22,7.16,-0.45,10.02
16,LSU,SEC (West),14,10,3,8.87,5.72,14.59,40.42,18.96,1.01,15.13,0.83,7.99,0.87,10.94
17,Wisconsin,Big Ten (Leaders),22,9,4,2.69,11.51,14.20,37.02,13.47,-1.79,14.94,2.51,7.54,0.87,10.77
18,USC,Pac-12 (South),19,10,4,4.08,9.65,13.72,34.33,14.21,-0.25,14.01,0.85,8.14,0.57,10.45
19,Texas A&M,SEC (West),18,9,4,16.81,-3.43,13.38,48.38,28.34,0.50,15.94,1.23,9.42,1.46,12.13
20,Oklahoma,Big 12,6,11,2,6.42,6.77,13.19,37.15,17.89,-1.21,15.13,1.21,8.36,0.36,11.10
21,Georgia,SEC (East),30,8,5,13.03,-0.21,12.82,43.35,23.43,0.20,16.27,0.73,7.94,0.88,11.38
22,Arizona,Pac-12 (South),30,8,5,5.72,6.89,12.60,37.03,18.20,-1.89,15.00,1.30,8.47,0.08,11.04
23,Ole Miss,SEC (West),30,8,5,4.24,6.19,10.42,33.55,17.66,-1.34,15.19,0.60,8.08,0.11,11.04
24,Brigham Young,Ind,30,8,5,5.85,4.38,10.23,35.75,18.72,-1.96,15.25,1.15,7.97,0.01,10.97
25,Kansas State,Big 12,30,8,5,6.13,3.88,10.01,34.67,20.29,0.62,14.85,0.55,8.46,0.54,11.13
26,Louisville,American,15,12,1,-0.18,10.18,9.99,33.67,15.75,-0.22,15.01,0.18,7.55,0.50,10.63
27,Notre Dame,Ind,20,9,4,3.00,6.51,9.50,32.48,19.00,-0.74,14.63,0.85,8.29,0.59,10.84
28,UCF,American,10,12,1,6.19,2.24,8.42,35.82,22.78,0.26,15.35,0.61,8.77,0.81,11.52
29,Oregon State,Pac-12 (North),30,7,6,9.08,-0.97,8.11,38.54,25.35,-0.79,14.93,-0.23,9.53,0.65,11.58
30,Vanderbilt,SEC (East),24,9,4,4.66,3.34,8.01,32.72,22.64,-1.29,14.82,-0.67,8.69,-0.73,11.20
31,Duke,ACC (Coastal),23,10,4,6.80,1.06,7.86,36.28,23.29,-1.60,16.51,0.61,8.89,0.00,11.91
32,Mississippi State,SEC (West),30,7,6,-0.28,8.00,7.72,32.29,16.68,-1.52,14.98,0.70,8.42,0.02,11.16
33,Texas,Big 12,35,8,5,3.09,4.36,7.45,33.55,19.77,-1.60,15.05,0.35,8.41,-0.26,10.99
34,Iowa,Big Ten (Legends),35,8,5,-0.90,8.22,7.31,28.67,16.91,-1.64,14.67,0.26,7.78,-0.43,10.60
35,Georgia Tech,ACC (Coastal),35,7,6,2.01,5.19,7.21,39.02,19.61,-1.14,16.58,1.44,8.44,0.01,11.94
36,Utah,Pac-12 (South),35,5,7,4.51,2.45,6.96,36.74,20.16,-1.09,15.45,0.10,7.90,-0.09,11.11
37,Utah State,MWC (Mountain),35,9,5,-4.34,11.04,6.70,28.90,14.55,-2.90,15.59,-0.01,6.86,-0.88,10.49
38,Miami (FL),ACC (Coastal),35,9,4,8.33,-1.74,6.59,40.42,25.97,0.30,16.58,0.93,9.11,1.11,12.15
39,Virginia Tech,ACC (Coastal),35,8,5,-3.85,10.26,6.41,26.21,13.62,-1.81,14.65,-0.91,7.49,-0.91,10.41
40,North Carolina,ACC (Coastal),35,7,6,3.53,2.69,6.22,35.74,21.73,-1.47,15.71,-0.36,8.44,-0.37,11.30
1,Alabama,SEC (West),1,13,1,6.53,17.98,24.51,43.90,6.55,9.06,5.93,5.07,3.11,7.01,4.00
2,Oregon,Pac-12 (North),2,12,1,17.21,6.22,23.43,53.39,17.73,7.56,6.02,5.05,5.26,6.52,5.09
